p80_http_get_headers_server,server_header_counter
Traffic inspector HTTP/FTP/Proxy server (1.1.5.218),3
BGPB_Server,3
Apache/2.2.25 (FreeBSD) PHP/5.3.27 with Suhosin-Patch mod_ssl/2.2.25 OpenSSL/0.9.8y DAV/2,3
Apache/2.2.14 (Win32) PHP/5.2.12,3
VVTK-HTTP-Server,3
JAWS/1.0 Jul  9 2013,3
sw-cp-server,3
lighttpd/1.4.36,3
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_fcgid/2.3.6,3
Server,3
CommuniGatePro/6.1.11,3
WildFly/9,3
Snap/0.9.5.1,3
Management Switch Web Server 0.01,3
Apache/2.4.12 (Win32) OpenSSL/1.0.1m PHP/5.4.40,3
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny16 with Suhosin-Patch,3
Apache/2.2.3 (Debian) mod_ssl/2.2.3 OpenSSL/0.9.8c,3
Apache/1.3.33 (Win32) PHP/4.3.10,3
Apache/1.3.34 (Win32) PHP/4.4.9,3
OTT Client Boot Server,3
nginx/1.0.8,3
Apache/2.0.63 (CentOS) mod_ssl/2.0.63 OpenSSL/0.9.7a DAV/2 PHP/5.1.6,3
Apache/2.0.52 (Red Hat),3
lighttpd/1.4.19,3
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_python/3.5.0- Python/2.7.5,3
Apache/2.4.7,3
Apache/2.2.4 (Win32) mod_ssl/2.2.4 OpenSSL/0.9.8k PHP/5.2.12,3
Apache/2.2.22 (Win32) PHP/5.4.31,3
Serv-U/15.1.3.3,3
nginx/1.0.1,3
Apache/2.2.17 (Win32) PHP/5.4.37,3
Apache/2.4.6 (Linux/SUSE),3
Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3
CommuniGatePro/6.1.8,3
Apache/2.4.18 (Win32) PHP/5.6.19,3
Apache/2.2.9,3
nginx/1.2.0,3
WindWeb/1.0,3
Apache/2.4.20 (Ubuntu),3
Apache/2.2.29 (Win32),3
Kerio Connect 8.1.2,3
Jetty(winstone-2.8),3
Apache/2.2.22 (Debian) mod_fastcgi/mod_fastcgi-SNAP-0910052141 PHP/5.4.39-0+deb7u2,3
Apache/2.4.23 (Debian),3
Apache/2.2.27 (Unix) mod_ssl/2.2.27 OpenSSL/1.0.1e-fips,3
Kerio MailServer 6.7.3,3
Apache/2.2.9 (Win32) mod_ssl/2.2.9 OpenSSL/0.9.8h PHP/5.2.9-2,3
squid/2.7.STABLE9,3
GlassFish Server Open Source Edition 3.1.2.2,3
SonicWALL,3
Web Server/2.1.0,3
JBoss-EAP/7,3
MoxaHttp/1.0,3
nginx/0.8.49,3
